DataExtractDate,ReportPeriod,Arrival_Departure,Domestic_International,FlightType,Passenger_Count
08/30/2022 11:02:17 AM,06/01/2022 12:00:00 AM,Departure,International,Scheduled Carriers,854970
08/30/2022 11:02:17 AM,07/01/2022 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,2267090
09/01/2022 12:00:54 AM,05/01/2022 12:00:00 AM,Departure,International,Scheduled Carriers,712347
08/30/2022 11:02:17 AM,08/01/2021 12:00:00 AM,Arrival,International,Scheduled Carriers,522222
08/30/2022 11:02:17 AM,07/01/2022 12:00:00 AM,Departure,Domestic,Charter,1105
08/30/2022 11:02:17 AM,08/01/2021 12:00:00 AM,Departure,International,Scheduled Carriers,396121
08/30/2022 11:02:17 AM,07/01/2022 12:00:00 AM,Departure,Domestic,Scheduled Carriers,2248254
09/01/2022 12:00:54 AM,07/01/2022 12:00:00 AM,Arrival,International,Scheduled Carriers,931531
08/30/2022 11:02:17 AM,07/01/2022 12:00:00 AM,Arrival,Domestic,Charter,1060
08/10/2022 06:01:11 AM,07/01/2022 12:00:00 AM,Departure,International,Charter,38
09/01/2022 12:00:54 AM,07/01/2022 12:00:00 AM,Departure,International,Scheduled Carriers,889181
08/10/2022 06:01:11 AM,07/01/2022 12:00:00 AM,Arrival,International,Charter,84
09/29/2021 09:09:13 AM,08/01/2021 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,2102089
09/29/2021 09:09:13 AM,08/01/2021 12:00:00 AM,Departure,Domestic,Scheduled Carriers,2111953
01/01/2022 12:00:11 AM,11/01/2021 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,2022211
09/10/2021 06:01:13 AM,08/01/2021 12:00:00 AM,Departure,International,Charter,129
09/29/2021 09:09:13 AM,08/01/2021 12:00:00 AM,Departure,Domestic,Charter,1195
09/29/2021 09:09:13 AM,08/01/2021 12:00:00 AM,Arrival,International,Charter,235
07/01/2022 12:00:22 AM,05/01/2022 12:00:00 AM,Departure,International,Charter,180
11/01/2021 12:00:16 AM,09/01/2021 12:00:00 AM,Departure,Domestic,Charter,1604
11/01/2021 12:00:16 AM,09/01/2021 12:00:00 AM,Arrival,Domestic,Charter,1200
11/01/2021 12:00:16 AM,08/01/2021 12:00:00 AM,Arrival,Domestic,Charter,1264
11/01/2021 12:00:16 AM,09/01/2021 12:00:00 AM,Departure,International,Scheduled Carriers,349922
11/01/2021 12:00:16 AM,09/01/2021 12:00:00 AM,Departure,Domestic,Scheduled Carriers,1823966
10/10/2021 06:01:09 AM,09/01/2021 12:00:00 AM,Departure,International,Charter,42
11/01/2021 12:00:16 AM,09/01/2021 12:00:00 AM,Arrival,International,Scheduled Carriers,381223
11/01/2021 12:00:16 AM,09/01/2021 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,1814120
01/01/2022 12:00:11 AM,11/01/2021 12:00:00 AM,Departure,Domestic,Scheduled Carriers,2027597
01/01/2022 12:00:11 AM,11/01/2021 12:00:00 AM,Departure,International,Charter,45
01/01/2022 12:00:11 AM,11/01/2021 12:00:00 AM,Departure,International,Scheduled Carriers,436178
01/01/2022 12:00:11 AM,11/01/2021 12:00:00 AM,Arrival,International,Scheduled Carriers,441058
01/31/2022 03:01:29 PM,12/01/2021 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,2072774
01/31/2022 03:01:29 PM,12/01/2021 12:00:00 AM,Departure,Domestic,Scheduled Carriers,2066475
07/01/2022 12:00:22 AM,05/01/2022 12:00:00 AM,Arrival,International,Charter,56
07/01/2022 12:00:22 AM,05/01/2022 12:00:00 AM,Arrival,Domestic,Charter,1022
01/31/2022 03:01:29 PM,12/01/2021 12:00:00 AM,Departure,International,Charter,1763
01/31/2022 03:01:29 PM,12/01/2021 12:00:00 AM,Arrival,International,Charter,978
07/01/2022 12:00:22 AM,05/01/2022 12:00:00 AM,Departure,Domestic,Charter,921
07/28/2022 09:31:00 AM,05/01/2022 12:00:00 AM,Departure,Domestic,Scheduled Carriers,2220887
07/10/2022 06:01:12 AM,06/01/2022 12:00:00 AM,Departure,International,Charter,72
07/28/2022 09:31:00 AM,06/01/2022 12:00:00 AM,Departure,Domestic,Charter,445
07/28/2022 09:31:00 AM,06/01/2022 12:00:00 AM,Arrival,Domestic,Charter,419
07/28/2022 09:31:00 AM,05/01/2022 12:00:00 AM,Arrival,International,Scheduled Carriers,666911
07/28/2022 09:31:00 AM,06/01/2022 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,2253996
07/28/2022 09:31:00 AM,06/01/2022 12:00:00 AM,Arrival,International,Scheduled Carriers,766399
07/28/2022 09:31:00 AM,05/01/2022 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,2233067
07/28/2022 09:31:00 AM,06/01/2022 12:00:00 AM,Departure,Domestic,Scheduled Carriers,2241701
04/18/2018 03:12:41 PM,01/01/2006 12:00:00 AM,Departure,International,Scheduled Carriers,694117
04/18/2018 03:12:41 PM,01/01/2006 12:00:00 AM,Departure,Domestic,Charter,3450
04/18/2018 03:12:41 PM,01/01/2006 12:00:00 AM,Departure,International,Commuter,1125
04/18/2018 03:12:41 PM,01/01/2006 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,1538812
04/18/2018 03:12:41 PM,01/01/2006 12:00:00 AM,Arrival,International,Commuter,1280
04/18/2018 03:12:41 PM,01/01/2006 12:00:00 AM,Arrival,International,Scheduled Carriers,742810
04/18/2018 03:12:41 PM,01/01/2006 12:00:00 AM,Arrival,Domestic,Charter,2457
04/18/2018 03:12:41 PM,01/01/2006 12:00:00 AM,Arrival,International,Charter,332
04/18/2018 03:12:41 PM,01/01/2006 12:00:00 AM,Departure,Domestic,Scheduled Carriers,1492469
04/18/2018 03:12:41 PM,01/01/2006 12:00:00 AM,Arrival,Domestic,Commuter,139728
04/18/2018 03:12:41 PM,01/01/2006 12:00:00 AM,Departure,International,Charter,558
04/18/2018 03:12:41 PM,01/01/2006 12:00:00 AM,Departure,Domestic,Commuter,139021
